State,County,Labor Force,Employed,Unemployed,Unemployment Rate,Life Expectancy,Natural_Amenity,Median Child Income,Gini,Gini_bin,Employ_bin,Avg Natural_Amenity
CA,SAN JOAQUIN COUNTY,"314,401","286,281","28,120",8.9,77.47,4.77,34300.0,0.443,0.4,10.0,-1.4098257839721255
CA,SAN MATEO COUNTY,"434,234","419,310","14,924",3.4,82.739,8.19,44900.0,0.49,0.5,5.0,-1.4098257839721255
CA,SANTA CLARA COUNTY,"1,012,215","969,950","42,265",4.2,82.653,5.95,42200.0,0.504,0.5,5.0,-1.4098257839721255
CA,SANTA CRUZ COUNTY,"143,227","132,434","10,793",7.5,81.411,8.49,35100.0,0.517,0.5,10.0,-1.4098257839721255
CA,SHASTA COUNTY,"74,122","68,325","5,797",7.8,76.774,5.69,33700.0,0.439,0.4,10.0,-1.4098257839721255
CA,SIERRA COUNTY,"1,362","1,242",120,8.8,84.9,5.9,35853.245749613605,0.3810850077279752,0.4,10.0,-1.4098257839721255
CA,SISKIYOU COUNTY,"17,884","16,199","1,685",9.4,78.875,3.36,33200.0,0.386,0.4,10.0,-1.4098257839721255
CA,SOLANO COUNTY,"204,869","192,237","12,632",6.2,78.801,5.88,37100.0,0.325,0.3,5.0,-1.4098257839721255
CA,SONOMA COUNTY,"257,659","246,028","11,631",4.5,80.591,7.93,37400.0,0.41,0.4,5.0,-1.4098257839721255
CA,STANISLAUS COUNTY,"240,986","217,971","23,015",9.6,77.622,7.21,33100.0,0.468,0.5,10.0,-1.4098257839721255
CA,SUTTER COUNTY,"44,734","39,925","4,809",10.8,78.635,1.72,35900.0,0.412,0.4,10.0,-1.4098257839721255
CA,TEHAMA COUNTY,"25,019","23,029","1,990",8.0,77.291,3.24,30200.0,0.367,0.4,10.0,-1.4098257839721255
CA,TRINITY COUNTY,"5,141","4,739",402,7.8,80.9,4.07,29500.0,0.355,0.4,10.0,-1.4098257839721255
