TimeStamp,TimeStamp,TotalMarketValue
417,2019-09-08 00:14:34,188510584781.25
418,2019-09-08 15:35:58,187072747656.25
419,2019-09-09 05:39:16,184299451950.0
420,2019-09-09 23:46:20,185361734900.0
421,2019-09-10 13:32:52,183681322750.0
422,2019-09-11 04:09:20,180494670375.0
423,2019-09-11 19:36:15,180795138300.0
424,2019-09-12 09:47:39,181866435312.5
425,2019-09-13 01:07:24,187098217075.0
426,2019-09-13 17:45:12,184933087800.0
427,2019-09-14 10:21:15,185224745250.0
428,2019-09-15 03:46:04,185525541281.25
429,2019-09-15 21:30:57,184848642562.5
430,2019-09-16 12:11:26,185077823662.5
431,2019-09-17 04:26:34,183539645843.75
432,2019-09-17 22:42:10,183490405087.5
433,2019-09-18 14:23:41,183324524987.5
434,2019-09-19 04:30:31,174940199325.0
435,2019-09-19 21:57:47,183970856125.0
436,2019-09-20 13:47:55,183069266043.75
437,2019-09-21 06:41:36,181099482125.0
438,2019-09-21 22:11:12,178922983400.0
439,2019-09-22 14:40:42,179797967200.0
440,2019-09-23 07:58:33,177674902800.0
441,2019-09-24 05:02:59,174223190000.0
442,2019-09-24 21:25:49,148784832568.75
443,2019-09-25 14:01:32,149101071193.75
444,2019-09-26 04:31:23,150351366531.25
445,2019-09-26 19:34:02,142227092450.0
446,2019-09-27 13:26:03,143584617662.5
447,2019-09-28 08:06:08,146630848168.75
448,2019-09-28 23:35:06,145249525525.0
449,2019-09-29 19:12:53,143472780431.25
450,2019-09-30 13:44:48,144175244062.5
451,2019-10-01 09:34:51,150546226162.5
452,2019-10-02 02:57:24,149362428906.25
453,2019-10-02 20:19:28,147873175612.5
454,2019-10-03 14:29:52,148081761000.0
455,2019-10-04 07:52:10,145504651600.0
456,2019-10-05 00:21:32,146665698000.0
457,2019-10-05 15:56:30,144906067112.5
458,2019-10-06 09:02:01,143316849000.0
459,2019-10-07 03:06:01,140532071750.0
460,2019-10-07 18:18:37,148120609387.5
461,2019-10-08 11:36:45,147511304150.0
462,2019-10-09 01:54:11,146811895818.75
463,2019-10-09 22:00:38,154411566156.25
464,2019-10-10 15:08:35,152975306400.0
465,2019-10-11 04:27:38,153697012987.5
466,2019-10-11 22:40:30,149796360600.0
467,2019-10-12 16:56:21,150571902200.0
468,2019-10-13 09:39:36,149854409250.0
469,2019-10-14 05:48:50,149073943875.0
470,2019-10-15 00:59:05,150173670931.25
471,2019-10-15 16:49:54,148529306193.75
472,2019-10-16 12:41:14,146416927737.5
473,2019-10-17 03:54:15,143476299000.0
474,2019-10-17 21:58:40,144701809500.0
475,2019-10-18 14:13:59,142669767068.75
476,2019-10-19 07:08:46,142871338209.477
477,2019-10-20 00:42:14,142852986318.75
478,2019-10-20 19:49:02,146896192456.25
479,2019-10-21 12:42:42,148734658187.5
480,2019-10-22 03:24:46,147323148775.0
481,2019-10-22 19:21:13,147820181287.5
482,2019-10-23 09:02:27,143274929850.0
483,2019-10-24 00:53:07,134172730625.0
484,2019-10-24 18:53:14,134020502087.5
485,2019-10-25 14:40:44,137515763231.25
486,2019-10-26 08:31:18,171553829081.25
487,2019-10-27 04:37:40,165603462031.25
488,2019-10-28 01:42:55,173659959112.5
489,2019-10-28 20:33:16,169609736618.75
490,2019-10-29 16:06:53,169018571750.0
491,2019-10-30 11:40:32,163636483424.994
492,2019-10-31 04:00:08,164033513400.0
493,2019-11-01 00:59:45,165009805387.5
494,2019-11-01 20:37:02,165598830468.75
495,2019-11-02 15:20:38,168558203812.5
496,2019-11-03 09:17:58,166452650756.25
497,2019-11-04 06:04:01,164959516875.0
498,2019-11-04 23:57:05,170074160100.0
499,2019-11-05 18:03:27,168599216143.75
500,2019-11-06 13:35:17,168945204262.5
501,2019-11-07 07:42:15,167298518937.5
