State,County,Annual_Crime_Rate,Children_Poverty_Rate,Chlamydia_Rate,id,Bachelor_or_High_Degree_Rate,Teenage_Birth_Rate,Natural_Amenity,Life_Expectancy,Population,Annual_Crime_Rate_Rank,Children_Poverty_Rate_Rank,Chlamydia_Rate_Rank,Bachelor_or_High_Degree_Rate_Rank,Teenage_Birth_Rate_Rank,Life_Expectancy_Rank
SC,LANCASTER COUNTY,0.0049853772369796,15.0,0.0051369084599881,45.0,39.5,0.217,0.09,75.462,65993,2019.0,836.0,1456.0,193.5,451.0,504.0
VA,LANCASTER COUNTY,0.0019719290105556,24.0,0.0075397285697714,51.0,39.5,0.19,1.33,78.4,8621,820.0,1934.5,2048.0,193.5,816.0,1598.0
NV,LANDER COUNTY,0.0098165848617928,15.0,0.0038749677086024,32.0,12.4,0.215,3.67,79.8,3871,2553.0,836.0,966.0,2338.0,467.0,2105.5
OR,LANE COUNTY,0.0039278707196155,14.0,0.0072043467915888,41.0,23.1,0.11,4.29,78.765,256373,1738.0,707.5,1991.0,844.0,2126.5,1744.0
WI,LANGLADE COUNTY,0.0009202236851419,20.0,0.0037516811778863,55.0,16.7,0.148,-3.13,79.76,14127,246.0,1516.5,902.0,1608.0,1605.5,2088.5
GA,LANIER COUNTY,0.0058394160583941,29.0,0.0065693430656934,13.0,16.5,0.1641391035548686,0.94,76.75,6850,2210.0,2291.5,1866.0,1630.0,1270.0,948.0
MI,LAPEER COUNTY,0.0026563400115214,13.0,0.002976380976765,26.0,18.3,0.114,-2.12,77.991,62492,1202.0,580.5,567.0,1407.0,2080.5,1441.5
WY,LARAMIE COUNTY,0.0030029128254406,11.0,0.0058556800096093,56.0,28.5,0.157,3.05,80.441,66602,1360.0,346.0,1687.0,560.5,1466.0,2273.0
CO,LARIMER COUNTY,0.0029366762645125,9.0,0.0066229545785252,8.0,47.3,0.098,5.62,80.546,226787,1328.0,188.5,1881.0,68.0,2290.0,2295.0
KY,LARUE COUNTY,0.000804424333836,23.0,0.0030165912518853,21.0,12.4,0.165,-1.22,74.675,9945,180.0,1834.0,581.0,2338.0,1168.5,292.0
CO,LAS ANIMAS COUNTY,0.0019948703334283,25.0,0.0051296665716728,8.0,19.5,0.219,3.6,78.617,10527,837.0,2015.5,1453.0,1241.0,432.5,1688.0
CA,LASSEN COUNTY,0.0080919743533053,15.0,0.0050409020561574,6.0,12.9,0.151,6.35,76.425,22615,2462.0,836.0,1426.0,2228.0,1561.0,822.0
ID,LATAH COUNTY,0.0018371644934354,10.0,0.0077519379844961,16.0,45.4,0.079,1.13,80.3,22317,743.0,261.5,2087.0,84.0,2507.0,2241.0
OK,LATIMER COUNTY,0.0032675095894303,27.0,0.0028413126864611,40.0,17.2,0.265,0.89,76.567,7039,1486.0,2172.0,493.0,1543.5,95.5,885.5
AL,LAUDERDALE COUNTY,0.0038990032386881,20.0,0.0064616545608904,1.0,23.5,0.156,0.9,74.655,63606,1732.0,1516.5,1839.0,820.0,1482.5,290.0
MS,LAUDERDALE COUNTY,0.0055301333852594,32.0,0.0122480771103105,28.0,23.5,0.215,1.31,74.433,51355,2136.0,2436.5,2482.0,820.0,467.0,246.5
TN,LAUDERDALE COUNTY,0.0104776926543488,25.0,0.0131252816584046,47.0,23.5,0.292,0.05,74.062,17752,2574.0,2015.5,2512.0,820.0,29.5,180.0
KY,LAUREL COUNTY,0.0013207184708481,27.0,0.0037700509076937,21.0,14.4,0.182,1.25,75.091,41644,414.0,2172.0,913.0,1962.5,920.5,384.0
GA,LAURENS COUNTY,0.0051356375437159,31.0,0.009924698320678,13.0,16.2,0.197,0.01,73.692,31739,2058.0,2393.0,2333.0,1667.5,708.0,129.0
SC,LAURENS COUNTY,0.0079723682495546,26.0,0.0087543989225355,45.0,16.2,0.242,-0.35,75.453,46034,2452.0,2095.0,2211.0,1667.5,225.0,501.5
TX,LAVACA COUNTY,0.0022493106951095,15.0,0.0031925700188651,48.0,16.7,0.161,-0.08,78.983,13782,984.0,836.0,654.0,1608.0,1413.5,1830.5
AL,LAWRENCE COUNTY,0.0036029853307025,23.0,0.0037316633782276,1.0,12.6,0.221,0.54,73.743,23314,1625.0,1834.0,891.0,2310.5,414.0,139.0
AR,LAWRENCE COUNTY,0.0033840947546531,27.0,0.007124410009796,5.0,12.6,0.196,-0.1,76.95,11229,1527.0,2172.0,1977.0,2310.5,721.0,1023.0
IL,LAWRENCE COUNTY,0.0012651821862348,25.0,0.0025303643724696,17.0,12.6,0.188,-2.34,72.38,11856,391.0,2015.5,366.0,2310.5,842.5,24.0
IN,LAWRENCE COUNTY,0.0040419115132294,15.0,0.0045082859186021,18.0,12.6,0.203,-0.35,74.78,32163,1766.0,836.0,1231.0,2310.5,617.5,311.5
KY,LAWRENCE COUNTY,0.0009243852837862,29.0,0.0021260861527084,21.0,12.6,0.13,-0.19,73.26,10818,247.0,2291.5,218.0,2310.5,1858.0,72.5
MO,LAWRENCE COUNTY,0.0061633886860597,23.0,0.0051034428610685,29.0,12.6,0.203,-2.46,76.557,25473,2256.0,1834.0,1447.0,2310.5,617.5,881.5
OH,LAWRENCE COUNTY,0.0023111027261579,23.0,0.0040562211112159,39.0,12.6,0.181,-1.08,74.225,42404,1027.0,1834.0,1043.0,2310.5,934.5,215.0
PA,LAWRENCE COUNTY,0.0032117163412127,18.0,0.0049781603288797,42.0,12.6,0.101,0.24,76.989,62272,1463.0,1239.0,1408.0,2310.5,2248.5,1048.0
SD,LAWRENCE COUNTY,0.002483911030823,14.0,0.0053065372022129,46.0,12.6,0.101,1.76,79.26,17714,1114.0,707.5,1529.0,2310.5,2248.5,1922.5
TN,LAWRENCE COUNTY,0.0067137082962252,23.0,0.0057888607248064,47.0,12.6,0.199,-0.89,74.964,29194,2333.0,1834.0,1673.0,2310.5,683.5,348.0
OK,LE FLORE COUNTY,0.0037300177619893,30.0,0.0079632918886915,40.0,14.6,0.252,1.31,74.417,33780,1669.0,2344.0,2115.0,1939.5,152.5,243.0
MN,LE SUEUR COUNTY,0.0007240755107318,8.0,0.0037755365916731,27.0,23.0,0.094,-2.17,81.35,19335,152.0,128.0,919.0,850.0,2351.0,2463.0
NM,LEA COUNTY,0.0073494547178757,18.0,0.0080844001896633,35.0,13.6,0.268,1.79,76.944,42180,2408.0,1239.0,2126.0,2125.0,84.5,1019.0
KS,LEAVENWORTH COUNTY,0.0060472787245739,9.0,0.0074216602528862,20.0,31.5,0.126,-0.35,77.336,54570,2243.0,188.5,2025.0,442.0,1913.0,1189.0
PA,LEBANON COUNTY,0.0021478693344733,16.0,0.0047232272258077,42.0,20.7,0.122,-0.66,78.948,95909,927.0,959.0,1314.0,1113.5,1970.5,1818.0
AL,LEE COUNTY,0.0067178403997733,14.0,0.0083251764463448,1.0,35.3,0.173,-0.24,77.548,97055,2335.0,707.5,2156.0,272.0,1058.0,1252.0
